#time,80x01-02_engine-rpm,80x03_coolant_temp,80x04_ambient_temp,80x05_intake_air_temp,80x06_fuel_temp,80x07_map_kpa,80x08_battery_voltage,80x09_throttle_pot,80x0A_idle_switch,80x0B_uk1,80x0C_park_neutral_switch,80x0D-0E_fault_codes,80x0F_idle_set_point,80x10_idle_hot,80x11_uk2,80x12_iac_position,80x13-14_idle_error,80x15_ignition_advance_offset,80x16_ignition_advance,80x17-18_coil_time,80x19_crankshaft_position_sensor,80x1A_uk4,80x1B_uk5,7dx01_ignition_switch,7dx02_throttle_angle,7dx03_uk6,7dx04_air_fuel_ratio,7dx05_dtc2,7dx06_lambda_voltage,7dx07_lambda_sensor_frequency,7dx08_lambda_sensor_dutycycle,7dx09_lambda_sensor_status,7dx0A_closed_loop,7dx0B_long_term_fuel_trim,7dx0C_short_term_fuel_trim,7dx0D_carbon_canister_dutycycle,7dx0E_dtc3,7dx0F_idle_base_pos,7dx10_uk7,7dx11_dtc4,7dx12_ignition_advance2,7dx13_idle_speed_offset,7dx14_idle_error2,7dx14-15_uk10,7dx16_dtc5,7dx17_uk11,7dx18_uk12,7dx19_uk13,7dx1A_uk14,7dx1B_uk15,7dx1C_uk16,7dx1D_uk17,7dx1E_uk18,7dx1F_uk19
18:04:11.610,0,19,200,24,200,99.000000,14.000000,0.880000,false,false,true,0,0,36,0,78,1200,0,4.000000,4.482000,false,0,0,true,15,0,14,0,149,255,255,1,false,151,100,0,255,103,0,255,0,0,0,0,255,0,0,0,0,0,0,0,0,26
18:04:12.503,0,19,200,24,200,99.000000,14.000000,0.880000,false,false,true,0,0,36,0,78,1200,0,4.000000,4.482000,false,0,0,true,15,0,14,0,149,255,255,1,false,151,100,0,255,103,0,255,0,0,0,0,255,0,0,0,0,0,0,0,0,26
18:04:13.355,0,19,200,24,200,99.000000,14.000000,0.880000,false,false,true,0,0,36,0,78,1200,0,4.000000,4.482000,false,0,0,true,15,0,14,0,149,255,255,1,false,151,100,0,255,103,0,255,0,0,0,0,255,0,0,0,0,0,0,0,0,26
18:04:14.247,0,19,200,24,200,99.000000,14.000000,0.880000,false,false,true,0,0,36,0,78,1200,0,4.000000,4.482000,false,0,0,true,15,0,14,0,149,255,255,1,false,151,100,0,255,103,0,255,0,0,0,0,255,0,0,0,0,0,0,0,0,26
18:04:15.106,0,19,200,24,200,99.000000,14.000000,0.880000,false,false,true,0,0,36,0,78,1200,0,4.000000,4.482000,false,0,0,true,15,0,14,0,149,255,255,1,false,151,100,0,255,103,0,255,0,0,0,0,255,0,0,0,0,0,0,0,0,26
18:04:15.949,0,20,200,24,200,99.000000,14.000000,0.880000,false,false,true,0,0,36,0,78,1200,0,4.000000,4.482000,false,0,0,true,15,0,14,0,149,255,255,1,false,151,100,0,255,103,0,255,0,0,0,0,255,0,0,0,0,0,0,0,0,26
18:04:16.760,0,19,200,24,200,99.000000,14.000000,0.880000,false,false,true,0,0,36,0,78,1200,0,4.000000,4.482000,false,0,0,true,15,0,14,0,149,255,255,1,false,151,100,0,255,103,0,255,0,0,0,0,255,0,0,0,0,0,0,0,0,26
18:04:17.586,0,20,200,24,200,99.000000,14.000000,0.880000,false,false,true,0,0,36,0,78,1200,0,4.000000,4.482000,false,0,0,true,15,0,14,0,149,255,255,1,false,151,100,0,255,103,0,255,0,0,0,0,255,0,0,0,0,0,0,0,0,26
18:04:18.473,0,19,200,24,200,99.000000,14.000000,0.880000,false,false,true,0,0,36,0,78,1200,0,4.000000,4.482000,false,0,0,true,15,0,14,0,149,255,255,1,false,151,100,0,255,103,0,255,0,0,0,0,255,0,0,0,0,0,0,0,0,26
18:04:19.276,0,20,200,24,200,99.000000,14.000000,0.880000,false,false,true,0,0,36,0,78,1200,0,4.000000,4.482000,false,0,0,true,15,0,14,0,149,255,255,1,false,151,100,0,255,103,0,255,0,0,0,0,255,0,0,0,0,0,0,0,0,26
18:04:20.134,0,20,200,24,200,99.000000,14.000000,0.880000,false,false,true,0,0,36,0,78,1200,0,4.000000,4.482000,false,0,0,true,15,0,14,0,149,255,255,1,false,151,100,0,255,103,0,255,0,0,0,0,255,0,0,0,0,0,0,0,0,26
18:04:20.954,0,20,200,24,200,99.000000,14.000000,0.880000,false,false,true,0,0,36,0,78,1200,0,4.000000,4.482000,false,0,0,true,15,0,14,0,149,255,255,1,false,151,100,0,255,103,0,255,0,0,0,0,255,0,0,0,0,0,0,0,0,26
18:04:21.783,0,20,200,24,200,99.000000,14.000000,0.880000,false,false,true,0,0,36,0,78,1200,0,4.000000,4.482000,false,0,0,true,15,0,14,0,149,255,255,1,false,151,100,0,255,103,0,255,0,0,0,0,255,0,0,0,0,0,0,0,0,26
18:04:22.667,0,20,200,24,200,99.000000,14.000000,0.880000,false,false,true,0,0,36,0,78,1200,0,4.000000,4.482000,false,0,0,true,15,0,14,0,149,255,255,1,false,151,100,0,255,103,0,255,0,0,0,0,255,0,0,0,0,0,0,0,0,26
18:04:23.568,0,20,200,24,200,99.000000,14.000000,0.880000,false,false,true,0,0,36,0,78,1200,0,4.000000,4.482000,false,0,0,true,15,0,14,0,149,255,255,1,false,151,100,0,255,103,0,255,0,0,0,0,255,0,0,0,0,0,0,0,0,26
18:04:24.374,0,20,200,24,200,99.000000,14.000000,0.880000,false,false,true,0,0,36,0,78,1200,0,4.000000,4.482000,false,0,0,true,15,0,14,0,149,255,255,1,false,151,100,0,255,103,0,255,0,0,0,0,255,0,0,0,0,0,0,0,0,26
18:04:25.213,0,20,200,24,200,99.000000,14.000000,0.880000,false,false,true,0,0,36,0,78,1200,0,4.000000,4.482000,false,0,0,true,15,0,14,0,149,255,255,1,false,151,100,0,255,103,0,255,0,0,0,0,255,0,0,0,0,0,0,0,0,26
18:04:26.055,0,20,200,24,200,99.000000,14.000000,0.880000,false,false,true,0,0,36,0,78,1200,0,4.000000,4.482000,false,0,0,true,15,0,14,0,149,255,255,1,false,151,100,0,255,103,0,255,0,0,0,0,255,0,0,0,0,0,0,0,0,26
18:04:26.879,0,20,200,25,200,99.000000,14.000000,0.880000,false,false,true,0,0,36,0,78,1200,0,4.000000,4.482000,false,0,0,true,15,0,14,0,149,255,255,1,false,151,100,0,255,103,0,255,0,0,0,0,255,0,0,0,0,0,0,0,0,26
18:04:27.738,0,20,200,25,200,99.000000,14.000000,0.880000,false,false,true,0,0,36,0,78,1200,0,4.000000,4.482000,false,0,0,true,15,0,14,0,149,255,255,1,false,151,100,0,255,103,0,255,0,0,0,0,255,0,0,0,0,0,0,0,0,26
18:04:28.586,0,20,200,25,200,99.000000,14.000000,0.880000,false,false,true,0,0,36,0,78,1200,0,4.000000,4.482000,false,0,0,true,15,0,14,0,149,255,255,1,false,151,100,0,255,103,0,255,0,0,0,0,255,0,0,0,0,0,0,0,0,26
18:04:29.428,0,20,200,25,200,99.000000,14.000000,0.880000,false,false,true,0,0,36,0,78,1200,0,4.000000,4.482000,false,0,0,true,15,0,14,0,149,255,255,1,false,151,100,0,255,103,0,255,0,0,0,0,255,0,0,0,0,0,0,0,0,26
18:04:30.250,0,20,200,25,200,99.000000,14.000000,0.880000,false,false,true,0,0,36,0,78,1200,0,4.000000,4.482000,false,0,0,true,15,0,14,0,149,255,255,1,false,151,100,0,255,103,0,255,0,0,0,0,255,0,0,0,0,0,0,0,0,26
18:04:31.100,0,20,200,25,200,99.000000,14.000000,0.880000,false,false,true,0,0,36,0,78,1200,0,4.000000,4.482000,false,0,0,true,15,0,14,0,149,255,255,1,false,151,100,0,255,103,0,255,0,0,0,0,255,0,0,0,0,0,0,0,0,26
18:04:31.973,0,20,200,25,200,92.000000,13.000000,0.880000,false,false,true,0,0,36,0,78,1200,0,4.000000,5.178000,true,0,0,true,15,0,14,0,149,255,255,1,false,151,100,0,255,103,0,255,0,0,0,0,255,0,0,0,0,0,0,0,0,26
18:04:32.867,1294,20,200,25,200,48.000000,12.000000,0.880000,false,false,true,0,0,36,0,78,127,0,12.000000,3.900000,true,0,0,true,15,0,14,0,149,255,255,1,false,151,100,0,255,99,0,255,0,0,0,0,255,0,0,0,0,0,0,0,0,26
18:04:33.763,1403,20,200,25,200,44.000000,12.000000,0.860000,false,false,true,0,0,36,0,74,197,0,12.000000,3.952000,true,0,0,true,15,0,14,0,149,255,255,1,false,151,100,0,255,99,0,255,0,0,0,0,255,0,0,0,0,0,0,0,0,26
18:04:34.682,1326,20,200,25,200,42.000000,12.000000,0.820000,false,false,true,0,0,36,0,70,123,0,12.000000,3.962000,true,0,0,true,14,0,14,0,149,255,255,1,false,151,100,0,255,99,0,255,0,0,0,0,255,0,0,0,0,0,0,0,0,26
18:04:35.628,1255,20,200,25,200,41.000000,12.000000,0.800000,false,false,true,0,0,36,0,67,63,0,12.000000,3.952000,true,0,0,true,13,0,14,0,149,255,255,1,false,151,100,0,255,99,0,255,0,0,0,0,255,0,0,0,0,0,0,0,0,26
18:04:36.532,1227,20,200,25,200,41.000000,12.000000,0.800000,false,false,true,0,0,36,0,66,36,0,12.000000,3.910000,true,0,0,true,13,0,14,0,149,255,255,1,false,151,100,0,255,99,0,255,0,0,0,0,255,0,0,0,0,0,0,0,0,26
18:04:37.467,1210,20,200,25,200,41.000000,12.000000,0.780000,false,false,true,0,0,36,0,66,18,0,11.500000,3.890000,true,0,0,true,13,0,14,0,149,255,255,1,false,151,100,0,255,99,0,255,0,0,0,0,255,0,0,0,0,0,0,0,0,26
18:04:38.365,1197,20,200,25,200,41.000000,12.000000,0.780000,false,false,true,0,0,36,0,66,15,0,11.500000,3.898000,true,0,0,true,13,0,14,0,149,255,255,1,false,151,100,0,255,99,0,255,0,0,0,0,255,0,0,0,0,0,0,0,0,26
18:04:39.263,1224,20,200,25,200,40.000000,12.000000,0.780000,false,false,true,0,0,36,0,66,33,0,10.000000,3.896000,true,0,0,true,13,0,14,0,149,255,255,1,false,151,100,0,255,99,0,255,0,0,0,0,255,0,0,0,0,0,0,0,0,26
18:04:40.162,1219,20,200,25,200,40.000000,12.000000,0.780000,false,false,true,0,0,36,0,65,18,0,11.500000,3.898000,true,0,0,true,13,0,14,0,149,255,255,1,false,151,100,0,255,99,0,255,0,0,0,0,255,0,0,0,0,0,0,0,0,26
